"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2008","7","150","Match point [videorecording] / British Broadcasting Corporation ; Magic Hour Media ; Thema Production ; Invicta Capital Ltd. ; BBC Films ; produced by Letty Aronson, Lucy Darwin, Gareth Wiley ; written by Woody Allen ; directed by Woody Allen.",,"Triangles Interpersonal relations Drama, Tennis players Drama, Brothers and sisters Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","DreamWorks Pictures : Distributed by Universal Studios Home Entertainment,","[2006]"
"Physical","Horizon","VIDEODISC","2008","8","150","I now pronounce you Chuck Larry",,"Comedy films, Video recordings for the hearing impaired, Fire fighters Drama, Feature films, Gay couples Drama",,
"Physical","Horizon","VIDEODISC","2008","10","150","Penelope [videorecording] / Summit Entertainment ; Stone Village Pictures ; Type A Films ; a Tatira Active production in association with Grosvenor Park Media ; produced by Jennifer Simpson, Scott Steindorff, Reese Witherspoon ; written by Leslie Caveny ; directed by Mark Palansky.",,"Aristocracy Social class Drama, Love Drama, Bachelors Drama, Tabloid newspapers Drama, Man woman relationships Drama, Feature films, Fiction films, Fantasy films, Video recordings for the hearing impaired, Comedy films","Universal Studios Home Entertainment,","[2008]"
"Physical","Horizon","VIDEODISC","2008","10","150","The departed [videorecording] / Warner Bros. Pictures ; Vertigo Entertainment ; Initial Entertainment Group ; Plan B Entertainment ; Media Asia Films ; produced by Brad Grey, Graham King, Brad Pitt, Martin Scorsese ; screenplay by William Monahan ; directed by Martin Scorsese.",,"Organized crime Massachusetts Boston Drama, Organized crime investigation Massachusetts Boston Drama, Police Massachusetts Boston Drama, Undercover operations Massachusetts Boston Drama, Infiltration Military science Drama, Moles Spies Drama, South Boston Boston Mass Drama, Feature films, Thrillers Motion pictures, Fiction films, Gangster films, Video recordings for the hearing impaired","Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2008","10","150","Mr. Bean's holiday [videorecording] / Universal Pictures ; Working Title ; Studio Canal in association with Motion Picture Alpha Produktionsgesellschaft, Tiger Aspect Pictures ; produced by Peter Bennett-Jones, Tim Bevan, Eric Fellner ; story by Simon McBurney ; screenplay by Hamish McColl and Robin Driscoll ; directed by Steve Bendelack.",,"Bean Mr Fictitious character Drama, Raffles England Drama, Vacations Drama, Cannes Film Festival Drama, France Drama, Feature films, Video recordings for the hearing impaired, Comedy films, Action and adventure films","Universal Studios Home Entertainment,","c2007."
"Physical","Horizon","VIDEODISC","2008","11","150","Balls of fury",,"Comedy films, Video recordings for the hearing impaired, Murder Investigation Drama, Feature films, Sports tournaments Drama, Table tennis Drama, Table tennis players Drama",,
"Physical","Horizon","VIDEODISC","2008","11","150","The holiday [videorecording] / Columbia Pictures Corporation ; Relativity Media ; Universal Pictures ; Waverly Films ; produced by Bruce A. Block, Nancy Meyers ; written by Nancy Meyers ; directed by Nancy Meyers.",,"Home exchanging Drama, Los Angeles Calif Drama, Surrey England Drama, Women Sexual behavior Drama, Man woman relationships Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,","[2007]"
"Physical","Horizon","VIDEODISC","2008","12","150","The departed [videorecording] / Warner Bros. Pictures ; Vertigo Entertainment ; Initial Entertainment Group ; Plan B Entertainment ; Media Asia Films ; produced by Brad Grey, Graham King, Brad Pitt, Martin Scorsese ; screenplay by William Monahan ; directed by Martin Scorsese.",,"Organized crime Massachusetts Boston Drama, Organized crime investigation Massachusetts Boston Drama, Police Massachusetts Boston Drama, Undercover operations Massachusetts Boston Drama, Infiltration Military science Drama, Moles Spies Drama, South Boston Boston Mass Drama, Feature films, Thrillers Motion pictures, Fiction films, Gangster films, Video recordings for the hearing impaired","Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2009","2","150","Run, fatboy, run [videorecording] / Picturehouse and Entertainment Films ; a Material Entertainment production ; produced by Robert Jones and Sarah Curtis ; story by Michael Ian Black ; screenplay by Michael Ian Black and Simon Pegg ; directed by David Schwimmer.",,"Overweight men Drama, Man woman relationships England London Drama, Marathon running Training England London Drama, Friendship England Drama, London England Drama, Romantic comedy films, Video recordings for the hearing impaired, Fiction films, Feature films, Comedy films","New Line Home Entertainment : Distributed by Warner Home Video,","[2008]"
"Physical","Horizon","VIDEODISC","2009","3","150","Hamlet 2 [videorecording] / Focus Features in association with L + E Pictures ; produced by Eric Eisner, Leonid Rozhetskin, Aaron Ryder ; written by Pam Brady & Andrew Fleming ; directed by Andrew Fleming.",,"Acting teachers Arizona Tucson Drama, Musicals Production and direction Drama, Shakespeare William 1564 1616 Hamlet Drama, Video recordings for the hearing impaired, Feature films, Fiction films, Comedy films","Universal Studios Home Entertainment,","c2008."
